Age,Height,Weight,FCVC,NCP,CH2O,FAF,TUE,Gender,family_history_with_overweight,FAVC,CAEC,SMOKE,SCC,CALC,MTRANS,Cluster,Weight_Category
21,1.62,64.0,2,3,2,0.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
21,1.52,56.0,3,3,3,3.0,0.0,Male,yes,yes,Sometimes,yes,yes,Sometimes,Public_Transportation,1,Normal
23,1.8,77.0,2,3,2,2.0,1.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,2,Overweight
27,1.8,87.0,3,3,2,2.0,0.0,Male,yes,yes,Sometimes,no,no,Frequently,Walking,2,Overweight
22,1.78,89.8,2,1,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Overweight
29,1.62,53.0,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
23,1.5,55.0,3,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Motorbike,1,Normal
22,1.64,53.0,2,3,2,3.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
24,1.78,64.0,3,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,2,Normal
22,1.72,68.0,2,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Normal
26,1.85,105.0,3,3,3,2.0,2.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,2,Obese
21,1.72,80.0,2,3,2,2.0,1.0,Male,yes,yes,Frequently,no,yes,Sometimes,Public_Transportation,2,Overweight
22,1.65,56.0,3,3,3,2.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Normal
41,1.8,99.0,2,3,2,2.0,1.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,0,Obese
23,1.77,60.0,3,1,1,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
22,1.7,66.0,3,3,2,2.0,1.0,Male,yes,yes,Sometimes,no,yes,Sometimes,Public_Transportation,2,Normal
27,1.93,102.0,2,1,1,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Obese
29,1.53,78.0,2,1,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Overweight
30,1.71,82.0,3,4,1,0.0,0.0,Male,yes,yes,Frequently,yes,no,no,Public_Transportation,0,Overweight
23,1.65,70.0,2,1,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Overweight
22,1.65,80.0,2,3,2,3.0,2.0,Male,yes,yes,Sometimes,no,no,no,Walking,2,Overweight
21,1.69,87.0,3,1,2,0.0,0.0,Male,yes,yes,Sometimes,yes,no,no,Public_Transportation,0,Overweight
22,1.65,60.0,3,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
22,1.6,82.0,1,1,2,0.0,2.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Overweight
21,1.85,68.0,2,3,2,0.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Normal
20,1.6,50.0,2,4,2,3.0,2.0,Male,yes,yes,Frequently,yes,no,no,Public_Transportation,2,Normal
21,1.7,65.0,2,1,2,1.0,2.0,Male,yes,yes,Frequently,no,no,Sometimes,Walking,1,Normal
23,1.6,52.0,2,4,2,2.0,1.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Normal
19,1.75,76.0,3,3,2,3.0,1.0,Male,yes,yes,Sometimes,no,yes,Sometimes,Public_Transportation,2,Overweight
23,1.68,70.0,2,3,2,2.0,2.0,Male,yes,yes,Sometimes,no,no,Frequently,Walking,2,Overweight
29,1.77,83.0,1,4,3,0.0,1.0,Male,yes,yes,Frequently,no,no,no,Motorbike,2,Overweight
31,1.58,68.0,2,1,1,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Normal
24,1.77,76.0,2,3,3,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Walking,2,Overweight
39,1.79,90.0,2,1,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Obese
22,1.65,62.0,2,4,2,2.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Normal
21,1.5,65.0,2,3,2,2.0,2.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
22,1.56,49.0,2,3,1,2.0,0.0,Male,yes,yes,Sometimes,no,yes,no,Walking,1,Underweight
21,1.6,48.0,2,3,1,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Underweight
23,1.65,67.0,2,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
21,1.75,88.0,2,3,3,3.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Overweight
21,1.67,75.0,2,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Overweight
23,1.68,60.0,2,4,2,0.0,0.0,Male,yes,yes,Frequently,no,no,no,Walking,1,Normal
21,1.66,64.0,1,3,1,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
